state,adm1_code,per_veterans,per_nonveterans,totalpopsqmiles,populationover18sqmiles,per_males,per_females,per_gulfwar,per_firstgulfwar,per_vietnam,per_korean,per_wwii
Alabama,USA-3541,9.4,90.6,94.4,73.38,91.5,8.5,16.9,22.2,37.2,9.4,4.2
Alaska,USA-3563,12.8,87.2,1.2,0.93,86.8,13.2,29.8,28.5,31.9,4,1.9
Arizona,USA-3520,9.8,90.2,56.3,44.81,91.7,8.3,14.2,18.6,37,11.2,5.7
Arkansas,USA-3528,9.5,90.5,56,43.34,92,8,14.9,18.7,38,10,4.8
California,USA-3521,5.9,94.1,239.1,188.41,92.5,7.5,15.4,16.3,35.7,11.1,6.8
Colorado,USA-3522,9.4,90.6,48.5,39.34,89.8,10.2,19.9,23.7,36,7.8,4.4
Connecticut,USA-3537,6.7,93.3,738.1,579.29,94.1,5.9,10.3,12.9,35.3,12.3,9.4
Delaware,USA-3555,9.5,90.5,460.8,372.47,91.4,8.6,13.8,18,37,10,5.2
Florida,USA-3542,9.4,94.9,350.6,293.21,91.8,8.2,13.5,18.3,35.3,12.3,7.2
Georgia,USA-3543,8.8,90.6,168.4,130.48,88.9,11.1,18.3,25.4,34,7.4,3.5
Hawaii,USA-3517,10.1,91.2,211.8,166.09,90.3,9.7,28.3,21,33.3,7.9,5.5
Idaho,USA-3518,9.9,89.9,19,14.51,93,7,14.6,19.3,39.1,9.4,5.4
Illinois,USA-3546,6.5,90.1,231.1,177.1,93.4,6.6,12.2,15.6,35.9,11,6.8
Indiana,USA-3547,8.2,93.5,181,139.54,93.5,6.5,11.6,16,35.5,9.9,5.5
Iowa,USA-3529,8.6,91.8,54.5,42.55,93.6,6.4,13,14.8,36.8,12,7
Kansas,USA-3530,8.9,91.4,34.9,26.4,92.6,7.4,17.3,18.9,35.8,10.1,6.2
Kentucky,USA-3548,8.6,91.1,109.9,85.16,92.7,7.3,14.7,19.4,36.5,9,4.8
Louisiana,USA-3535,7.6,91.4,104.9,80.73,91.6,8.4,16.5,20.8,35.6,9.1,5.1
Maine,USA-3561,10.7,92.4,43.1,34.63,93.3,6.7,11.4,16.6,38.8,10.7,6.5
Maryland,USA-3557,8.6,89.3,594.8,469.01,88.3,11.7,20.4,24.4,31.2,8.3,5.4
Massachusetts,USA-3513,6.4,91.4,839.4,682.01,94.4,5.6,10.9,12,34.9,13,8.9
Michigan,USA-3562,7.8,93.6,174.8,135.17,93.7,6.3,9.6,14.2,37.9,10.6,6.6
Minnesota,USA-3514,8,92.2,66.6,52.34,93.9,6.1,11.4,13.1,37.8,11.4,6.9
Mississippi,USA-3544,8,92,63.2,47.9,91.2,8.8,16.8,20.5,35.8,9.2,4.6
Missouri,USA-3531,9.4,92,87.1,67.43,93,7,13.2,17,37.4,10.4,5.6
Montana,USA-3515,11,90.6,9.7,5.46,91.7,8.3,14.5,17.7,38.2,9.4,4.9
Nebraska,USA-3532,9,88.9,23.8,18.33,92.1,7.9,17.3,20.5,34.3,11.3,6
Nevada,USA-3523,10,91,24.3,19.73,91.4,8.6,16.2,19.8,37.6,8.9,3.9
New Hampshire,USA-3538,9.8,90,147,118.07,92.8,7.2,11.4,16,36.8,10.8,6.3
New Jersey,USA-3558,5.4,90.2,1195.5,929.92,94.1,5.9,10.2,11.7,35.2,13.4,9.3
New Mexico,USA-3524,10,94.6,17,12.95,91.5,8.5,16.1,19.6,38.3,9.5,4.8
New York,USA-3559,5.1,90,411.2,327.19,93.6,6.4,11.4,12.5,33.7,12.3,8.3
North Carolina,USA-3549,9,94.9,196.1,155.41,90.5,9.5,17.3,22.2,35.7,8.6,4.2
North Dakota,USA-3516,8.8,91,9.7,8.15,92.1,7.9,21.3,18.4,34.1,9.9,4.8
Ohio,USA-3550,8.7,91.2,282.3,218.3,93.1,6.9,11.6,16.1,35.8,9.8,6.3
Oklahoma,USA-3533,9.9,91.3,54.7,42.31,91.8,8.2,17.3,20.2,37.4,9.4,4.8
Oregon,USA-3525,9.7,90.1,39.9,32.48,92.3,7.7,11.8,15.9,39.3,10,6.6
Pennsylvania,USA-3560,8.3,90.3,283.9,224.8,93.8,6.2,10.7,13.9,35.5,11.8,7.8
Rhode Island,USA-3539,7.5,91.7,1018.1,802.81,93.7,6.3,12.3,13.2,35.2,13.3,8
South Carolina,USA-3545,10.1,92.5,153.9,123.5,90.9,9.1,17.3,21.8,37.3,8.4,4.1
South Dakota,USA-3534,9.8,89.9,10.7,8.42,91.3,8.7,17.1,19.2,36.2,11.6,4.9
Tennessee,USA-3551,9,90.2,153.9,122.16,91.8,8.2,15.3,19.7,37.5,8.8,4.4
Texas,USA-3536,7.7,91,96.3,75.4,90.2,9.8,20.6,23.6,34,8,4.4
Utah,USA-3526,6.4,92.3,33.6,24.82,93.6,6.4,19,19.1,35.1,10.8,6.4
Vermont,USA-3540,8.4,93.6,67.9,54.51,92.5,7.5,10.5,13.7,37.8,10.8,7.4
Virginia,USA-3552,11,91.6,202.6,159.96,87.1,12.9,26.6,31.7,31.5,6.9,3.7
Washington,USA-3519,10.2,89,101.2,81.47,90.7,9.3,17.6,21.6,36.9,8.4,5
West Virginia,USA-3554,9.9,89.8,77.1,60.86,94.3,5.7,11.9,16.6,38.9,10.1,5.2
Wisconsin,USA-3553,8.3,90.1,105,81.95,93,7,11.8,14.4,36.3,10.5,6.7
Wyoming,USA-3527,10.7,91.7,5.8,4.55,91.8,8.2,17.9,21.3,37.3,7.9,4.3
